V1,location_name,location_id,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,deaths_mean,deaths_lower,deaths_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,totdea_mean,totdea_lower,totdea_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths,cases
28672,Washington,570,2/21/20,5.13365,4.5,6.15,2,2,2,2,2,2,0,0,0,5.13365,4.5,6.15,2,2,2,0,0,0,0,0,0,0,0,0,1,0
28673,Washington,570,2/22/20,9.4558,8,11.8,3,3,3,3,3,3,0,0,0,4.32215,3.1,6.45,1,1,1,0,0,0,0,0,0,0,0,0,1,0
28674,Washington,570,2/23/20,14.5635,12.9,16.90125,5,5,5,5,5,5,0,0,0,5.1077,4.54875,5.95125,2,2,2,0,0,0,0,0,0,0,0,0,1,0
28675,Washington,570,2/24/20,17.1193,15.35,19.50125,6.27695,6.05,6.55,6.2047,6.05,6.45,0,0,0,2.5558,2.15,3.10125,1.27695,1.05,1.55,0,0,0,0,0,0,0,0,0,5,0
28676,Washington,570,2/25/20,24.8259,22.9,27.4,9.5737,9.25,10,9.4232,9.15,9.75,0,0,0,7.7066,6.9,8.8,3.29675,3.05,3.6,0,0,0,0,0,0,0,0,0,5,0
28677,Washington,570,2/26/20,32.17601998,29.31539474,35.92676084,11.85005,11.45,12.35,11.6295,11.3,12.05,2,2,2,7.350119982,5.563157895,9.865855263,2.27635,2.09875,2.55,2,2,2,0,0,0,0,0,0,5,0
28678,Washington,570,2/27/20,42.59181049,38.98894737,47.09743421,13.9875,13.55,14.45,13.73115,13.4,14.15125,1,1,1,12.41579051,10.50187135,14.98230263,4.13745,4,4.3,3,3,3,0,0,0,0,0,0,5,0
28679,Washington,570,2/28/20,43.87631049,40.21776316,48.26230263,15.40615,14.9,15.95,15.04045,14.6,15.55,2,2,2,5.1412,4.45,6.05125,2.41865,2.15,2.7,5,5,5,0,0,0,0,0,0,7,0
28680,Washington,570,2/29/20,51.31816711,47.41809211,56.28105263,17.8816644,17.26657895,18.54769737,17.3920901,16.90157895,17.97375,1,1,1,12.46725663,10.54703947,15.13223684,4.475514401,4.155263158,4.892105263,6,6,6,0,0,0,0,0,0,10,1
28681,Washington,570,3/1/20,62.88886711,58.85440789,67.87921053,23.62943514,22.87894737,24.37921053,22.94129715,22.32754386,23.62375,3,3,3,15.40205,14.35,16.8,6.747770734,6.357894737,7.229013158,9,9,9,0,0,0,0,0,0,17,3
28682,Washington,570,3/2/20,58.47051711,54.39625,63.30315789,20.90023514,20.12098684,21.69473684,20.14344715,19.46835526,20.83684211,2,2,2,0,0,0,0.2708,0.05,0.5,11,11,11,0,0,0,0,0,0,23,6
28683,Washington,570,3/3/20,73.66521615,68.31256579,79.91414474,25.64451053,24.83144737,26.56322368,24.692032,23.96255117,25.45263158,4,4,4,21.48264904,18.24644737,25.36109649,6.744275396,6.402631579,7.22375,15,15,15,0,0,0,0,0,0,32,10
28684,Washington,570,3/4/20,81.5815359,75.39072368,88.37907895,26.47411053,25.58927632,27.46342105,25.297332,24.47364766,26.16078947,2,2,2,16.79092533,13.44467105,20.90046053,4.8296,4.45,5.2,17,17,17,0,0,0,0,0,0,47,11
28685,Washington,570,3/5/20,81.38213186,74.89427632,88.53967105,26.47411053,25.58927632,27.46342105,25.297332,24.47364766,26.16078947,4,4,4,9.468615734,6.894736842,12.63289474,2,2,2,21,21,21,0,0,0,0,0,0,75,11
28686,Washington,570,3/6/20,93.44007087,85.74539474,101.7825,27.85390891,26.74164474,29.06842105,26.31610817,25.39717105,27.32901316,6,6,6,18.92833901,14.84210526,23.42236842,5.379798379,4.863092105,6.042105263,27,27,27,0,0,0,0,0,0,86,12
28687,Washington,570,3/7/20,94.28799742,86.27796053,102.7642105,26.96834933,25.71809211,28.33164474,25.13729807,24.07842105,26.23953947,0,0,0,14.57090778,11.83052632,18.27638158,5.11444042,4.620921053,5.726381579,27,27,27,0,0,0,0,0,0,110,16
28688,Washington,570,3/8/20,95.29158797,86.57611842,104.2111842,29.35362114,27.97828947,30.68947368,27.42108765,26.24723684,28.56059211,6,6,6,9.576040549,6.840789474,13.00131579,2.662221814,2.263157895,3.157894737,33,33,33,0,0,0,0,0,0,141,19
28689,Washington,570,3/9/20,101.2833968,92.22802632,110.2506579,27.36990875,25.96532895,28.84763158,25.17228299,23.96026316,26.36578947,4,4,4,11.99180886,9.349802632,15.58953947,4.313037603,3.736842105,4.948684211,37,37,37,0,0,0,0,0,0,179,22
28690,Washington,570,3/10/20,102.1359316,92.22348684,111.8978947,28.02469693,26.5841886,29.59743421,25.65486701,24.41109649,26.94486842,2,2,2,18.95538543,14.78947368,23.72258772,4.931138179,4.513092105,5.4975,39,39,39,0,0,0,0,0,0,279,24
28691,Washington,570,3/11/20,132.6582167,121.4744079,144.8325,36.55653057,35.07078947,38.21078947,34.04577474,32.75703947,35.40026316,4,4,4,44.19876999,38.26559211,50.78959795,10.66928365,10.29334365,11.15789474,43,43,43,0,0,0,0,0,0,338,29
28692,Washington,570,3/12/20,154.3435416,142.5295395,167.2136184,40.92987147,39.36046053,42.48763158,38.32491475,36.99967105,39.63973684,4,4,4,32.7686688,27.96217105,38.48289474,8.791990897,8.365789474,9.307894737,47,47,47,0,0,0,0,0,0,419,32
28693,Washington,570,3/13/20,159.6907677,147.3377632,172.0517763,42.76893892,41.06835526,44.44756579,39.94242066,38.53138158,41.39451754,2,2,2,23.25927756,19.00945175,28.41486842,6.31458185,5.736842105,7,49,49,49,0,0,0,0,0,0,511,37
28694,Washington,570,3/14/20,189.1783269,175.9134211,203.1410526,52.02075573,50.03855263,53.95532895,48.60579681,46.99723684,50.26592105,3,3,3,41.40367884,35.53315789,48.25552632,11.99958755,11.17032895,12.95815789,52,52,52,0,0,0,0,0,0,609,40
28695,Washington,570,3/15/20,235.2338961,219.5669079,251.4446053,62.95109086,60.92059211,65.05026316,59.02732027,57.34980263,60.73710526,4,4,4,56.09977605,49.11467105,64.5475,14.20113513,13.44730263,15.03703947,56,56,56,0,0,0,0,0,0,675,42
28696,Washington,570,3/16/20,250.6011224,234.2648026,266.5684211,65.81365227,63.64203947,68.00802632,61.66003114,59.9625,63.45269737,10,10,10,27.98569423,23.16089912,33.67394737,7.606836799,6.989407895,8.344451754,66,66,66,0,0,0,0,0,0,794,48
28697,Washington,570,3/17/20,278.9129823,262.2188158,295.9025658,68.86419079,66.67355263,71.22631579,64.17454215,62.32888158,66.15302632,8,8,8,52.42817793,45.63026316,60.42105263,13.88013853,13.06828947,14.73690789,74,74,74,0,0,0,0,0,0,908,54
28698,Washington,570,3/18/20,257.1017417,241.1944737,274.6535526,68.75562545,66.26835526,71.33197368,63.03342758,61.04710526,65.23519737,5,5,5,18.1357125,14.58940789,22.43026316,7.891434653,6.881513158,8.939868421,79,79,79,0,0,0,0,0,0,1026,68
28699,Washington,570,3/19/20,281.2667925,265.0807237,298.0779605,75.31982095,72.74835526,77.91611842,69.44771862,67.41302632,71.55539474,9,9,9,52.00338455,45.36842105,59.58026316,12.94399389,12.24993421,13.72375,88,88,88,0,0,0,0,0,0,1228,75
28700,Washington,570,3/20/20,300.7449125,283.9107895,319.2705921,78.85642192,76.19690789,81.60881579,72.31844598,70.16539474,74.56868421,12,12,12,45.87483612,39.55769737,53.15171053,13.65104139,12.73684211,14.73684211,100,100,100,0,0,0,0,0,0,1404,83
28701,Washington,570,3/21/20,331.9086201,314.27125,349.9369079,83.4497952,80.80769737,86.22677632,76.7531298,74.53651316,79.00289474,6,6,6,73.51684794,65.56532895,82.37947368,17.25559509,16.72098684,17.89445175,106,106,106,0,0,0,0,0,0,1655,95
28702,Washington,570,3/22/20,397.3074479,379.6311184,417.0615789,103.7739916,101.0604605,106.6817105,96.46978267,94.12721491,98.89519737,11,11,11,111.6071691,102.3576316,122.0294737,27.63723405,26.73647661,28.73684211,117,117,117,0,0,0,0,0,0,1844,97
