V1,location_name,location_id,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,deaths_mean,deaths_lower,deaths_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,totdea_mean,totdea_lower,totdea_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths,cases
20770,Oregon,560,4/5/20,109.9644,100.74875,120.6,28.29155,27,29.75,26.64045,25.59875,27.8,5,5,5,0,0,0,0.6652,0.3,1.15,27,27,27,0,0,0,0,0,0,1068,27
20771,Oregon,560,4/6/20,124.02105,113.5475,135.45125,28.281,26.95,29.75,26.36385,25.3,27.55,0,0,0,19.05665,15.09875,23.95125,5.31745,4.7,5.95,27,27,27,0,0,0,0,0,0,1132,29
20772,Oregon,560,4/7/20,125.7123,115.29125,136.95,35.599,34,37.35,32.80865,31.55,34.25,2,2,2,18.7967,15,23.4025,7.65305,6.7,8.70125,29,29,29,0,0,0,0,0,0,1181,33
20773,Oregon,560,4/8/20,127.4369,116.74875,138.90625,34.2618,32.65,35.95,31.5583,30.3,33.00125,4,4,4,4.7232,3.25,7.45125,1,1,1,33,33,33,0,0,0,0,0,0,1239,38
20774,Oregon,560,4/9/20,125.3757,114.7975,136.8025,33.58355,31.9,35.45,30.5308,29.25,32,11,11,11,9.43335,6.95,12.85,3.32175,2.75,4.05,44,44,44,0,0,0,0,0,0,1321,44
20775,Oregon,560,4/10/20,114.6919,104.04125,126.60375,25.8927,24.05,27.6,22.7595,21.34875,24.2,0,0,0,14.31325,11.1,18.65125,4.30355,3.75,4.95,44,44,44,0,0,0,0,0,0,1371,48
20776,Oregon,560,4/11/20,105.37915,95.8975,116.1,31.55355,29.8,33.30125,28.51355,27.1,29.9,4,4,4,28.457,23.69875,34.15125,6.3265,6.1,6.65,48,48,48,0,0,0,0,0,0,1447,51
20777,Oregon,560,4/12/20,129.47415,118.64625,142.10125,33.87775,32.09875,35.65,30.75595,29.4,32.2,4,4,4,28.4322,23.85,34.15125,6.65525,6.3,7.15,52,52,52,0,0,0,0,0,0,1527,52
20778,Oregon,560,4/13/20,121.25355,111.1975,132.65125,32.22605,30.44875,34.05,29.0086,27.64875,30.5,1,1,1,9.5143,7.05,13.05,3.00495,2.5,3.65,53,53,53,0,0,0,0,0,0,1584,53
20779,Oregon,560,4/14/20,115.1626,105.6975,125.30375,34.8718,32.9,36.75125,31.2179,29.65,32.75,2,2,2,9.3966,7,12.7025,3.9765,3.3,4.8,55,55,55,0,0,0,0,0,0,1633,55
20780,Oregon,560,4/15/20,113.8435,104.44875,123.8,35.8614,33.75,37.95125,31.68965,30,33.35,3,3,3,4.74325,3.25,7.40125,2.9896,2.3,3.75125,58,58,58,0,0,0,0,0,0,1663,58
20781,Oregon,560,4/16/20,117.9157,108.39875,128.25125,34.87675,32.84875,36.95125,30.9591,29.35,32.65,6,6,6,14.18135,10.95,18.05,3.66295,3.3,4.15,64,64,64,0,0,0,0,0,0,1736,64
20782,Oregon,560,4/17/20,100.95075,92.0975,110.6525,29.53485,27.45,31.65,25.44595,23.75,27.15,6,6,6,0,0,0,0.6581,0.3,1.15,70,70,70,0,0,0,0,0,0,1785,70
20783,Oregon,560,4/18/20,97.7488,88.54875,107.305,28.2055,26.19875,30.25125,24.20845,22.6,25.95125,2,2,2,23.6093,19.09875,28.80125,5.33585,5.05,5.7,72,72,72,0,0,0,0,0,0,1844,72
